Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
5259804428cc3ed030f33463f402d08110d5aa81951a09faeb6f751dd0c89785,2012-12,Surrey Police,Surrey Police,0.009917,51.331532,On or near Jewels Hill,E01000656,Bromley 039C,Other theft,Investigation complete; no suspect identified,
939a1d87e396cb69cecf8655d10e24c23641b53ac8ef6fb541568e0a2ab7e4f7,2012-12,Surrey Police,Surrey Police,-0.067414,51.320963,On or near Princes Avenue,E01001106,Croydon 039C,Criminal damage and arson,Investigation complete; no suspect identified,
ec980ff21dada4155eb0a8b7df47105ad3a7460875f921272f16fd93ec50414c,2012-12,Surrey Police,Surrey Police,-0.068303,51.319943,On or near Princes Close,E01001106,Croydon 039C,Criminal damage and arson,Investigation complete; no suspect identified,
096e131db1c81481ceb6b1f2a7b8e99e5a21aa6871e071395fbc9cf80a8debb6,2012-12,Surrey Police,Surrey Police,-0.083538,51.313206,On or near Mosslea Road,E01001071,Croydon 042B,Vehicle crime,Investigation complete; no suspect identified,
46ccf68fffbd15bf92b868fd3d355dabfd5feb13f51b6f4addf61e233a69a2ce,2012-12,Surrey Police,Surrey Police,-0.151576,51.307303,On or near Hollymeoak Road,E01001027,Croydon 043E,Criminal damage and arson,Under investigation,
4f164d794fea452c60132475ddc0066265d96ef3addb963b5929c1645b92212e,2012-12,Surrey Police,Surrey Police,-0.151576,51.307303,On or near Hollymeoak Road,E01001027,Croydon 043E,Violent crime,Investigation complete; no suspect identified,
,2012-12,Surrey Police,Surrey Police,-0.368866,51.407929,On or near Petrol Station,E01030330,Elmbridge 001A,Anti-social behaviour,,
,2012-12,Surrey Police,Surrey Police,-0.368866,51.407929,On or near Petrol Station,E01030330,Elmbridge 001A,Anti-social behaviour,,
,2012-12,Surrey Police,Surrey Police,-0.365617,51.408720,On or near Tufton Gardens,E01030330,Elmbridge 001A,Anti-social behaviour,,
9155e05e4565e0c4b94edcaccc5bbedb1e8b3fed8327468c4cda9ad4ae91ccfd,2012-12,Surrey Police,Surrey Police,-0.371896,51.405220,On or near Balmoral Crescent,E01030330,Elmbridge 001A,Burglary,Investigation complete; no suspect identified,
beaa0cfd2fb02e86339b408f49d0e5c4613a57102550ee8df39cf0c7eabae1e7,2012-12,Surrey Police,Surrey Police,-0.370082,51.408522,On or near Thames Meadow,E01030330,Elmbridge 001A,Burglary,Investigation complete; no suspect identified,
dda7ac9140c89ac227049b2b28a5c7665a6c111dccd2e40cfd62fe5bd98e148d,2012-12,Surrey Police,Surrey Police,-0.370082,51.408522,On or near Thames Meadow,E01030330,Elmbridge 001A,Burglary,Investigation complete; no suspect identified,
156f7b4512e5dbdba610526d381305fbf1e67ea27284114c9b4e1cfe58af4654,2012-12,Surrey Police,Surrey Police,-0.365617,51.408720,On or near Tufton Gardens,E01030330,Elmbridge 001A,Criminal damage and arson,Investigation complete; no suspect identified,
9cf79ca32835c6ad1d539f030b336512b0b7c20be9bbedc01124eff51982c7cf,2012-12,Surrey Police,Surrey Police,-0.372794,51.406239,On or near Wilton Gardens,E01030330,Elmbridge 001A,Shoplifting,Investigation complete; no suspect identified,
f3f1d52be9202ee46e89a22dcee3f612b0f4a124ac7aa2219c5e2a17e78a1a16,2012-12,Surrey Police,Surrey Police,-0.372794,51.406239,On or near Wilton Gardens,E01030330,Elmbridge 001A,Vehicle crime,Investigation complete; no suspect identified,
,2012-12,Surrey Police,Surrey Police,-0.374863,51.407077,On or near Hurstfield Road,E01030331,Elmbridge 001B,Anti-social behaviour,,
154d1c0bfdf154b20a45497b5692cd9b00a19b30a9ac0a9b4c59e3faa32697a8,2012-12,Surrey Police,Surrey Police,-0.374863,51.407077,On or near Hurstfield Road,E01030331,Elmbridge 001B,Criminal damage and arson,Under investigation,
2baf0b229e1d9998b8fb8ef6e2752fc3deabd1746789e1874d34ba66f5e24aee,2012-12,Surrey Police,Surrey Police,-0.380905,51.402521,On or near Bishop Fox Way,E01030331,Elmbridge 001B,Violent crime,Investigation complete; no suspect identified,
