Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2013-04,Surrey Police,Surrey Police,0.017902,51.302185,On or near Bridlington Close,E01000655,Bromley 039B,Anti-social behaviour,,
62f423ce5aaa2badcd2bee4364ad7dbd45af417216e39e07eaf655269dfee916,2013-04,Surrey Police,Surrey Police,0.017902,51.302185,On or near Bridlington Close,E01000655,Bromley 039B,Criminal damage and arson,Investigation complete; no suspect identified,
7615930e446742e264ddfa026ef5121ef5f7b82d69657ca1e20b450f0a9cc48b,2013-04,Surrey Police,Surrey Police,0.017902,51.302185,On or near Bridlington Close,E01000655,Bromley 039B,Criminal damage and arson,Investigation complete; no suspect identified,
99a60c0f2b5361bdced7739c3b0946a53cfda28fa718c6d46accaf18b9048818,2013-04,Surrey Police,Surrey Police,0.017902,51.302185,On or near Bridlington Close,E01000655,Bromley 039B,Criminal damage and arson,Investigation complete; no suspect identified,
,2013-04,Surrey Police,Surrey Police,-0.731473,51.081254,On or near Hill Farm Close,E01031502,Chichester 001A,Anti-social behaviour,,
,2013-04,Surrey Police,Surrey Police,0.001074,51.331197,On or near Sports/Recreation Area,E01001081,Croydon 036D,Anti-social behaviour,,
,2013-04,Surrey Police,Surrey Police,0.001074,51.331197,On or near Sports/Recreation Area,E01001081,Croydon 036D,Anti-social behaviour,,
,2013-04,Surrey Police,Surrey Police,0.001074,51.331197,On or near Sports/Recreation Area,E01001081,Croydon 036D,Anti-social behaviour,,
96fae01abc48a2ffbb6e1786107347ae769c0fdd979db0f6ce1f83c243a41234,2013-04,Surrey Police,Surrey Police,0.001074,51.331197,On or near Sports/Recreation Area,E01001081,Croydon 036D,Violent crime,Investigation complete; no suspect identified,
7c7b0a7d5081391244202522686bd2ef7d29e45fcbd30f0f47a0b9fedfb5a362,2013-04,Surrey Police,Surrey Police,-0.103856,51.322628,On or near Ravens Wold,E01001075,Croydon 040C,Vehicle crime,Court case unable to proceed,
7792df444f6e5608f733da58dae7f38435b6b8be63d92240e5cc5795bf796068,2013-04,Surrey Police,Surrey Police,-0.144870,51.303879,On or near Wilhelmina Avenue,E01001017,Croydon 043A,Burglary,Investigation complete; no suspect identified,
81e9a1a6a5fbb046105159348a3d27cc97ecf514248a83e49ad6f4208dc361a9,2013-04,Surrey Police,Surrey Police,-0.826527,51.178771,On or near Lickfolds Road,E01022582,East Hampshire 001B,Other theft,Investigation complete; no suspect identified,
,2013-04,Surrey Police,Surrey Police,-0.375309,51.403442,On or near Sandringham Gardens,E01030330,Elmbridge 001A,Anti-social behaviour,,
,2013-04,Surrey Police,Surrey Police,-0.369494,51.407650,On or near Hurst Road,E01030330,Elmbridge 001A,Anti-social behaviour,,
,2013-04,Surrey Police,Surrey Police,-0.370967,51.407868,On or near Ferry Road,E01030330,Elmbridge 001A,Anti-social behaviour,,
,2013-04,Surrey Police,Surrey Police,-0.372643,51.403198,On or near Hospital,E01030330,Elmbridge 001A,Anti-social behaviour,,
da1e1ba6117475293563fb6624831d66614c7e1c540689fce29ae949a3cc238c,2013-04,Surrey Police,Surrey Police,-0.371498,51.406293,On or near Windsor Avenue,E01030330,Elmbridge 001A,Drugs,Offender fined,
10d7b6c407721f61e0f759e95560af02948d8aa6cd60ef4c52a343d159d75698,2013-04,Surrey Police,Surrey Police,-0.369026,51.406672,On or near Monaveen Gardens,E01030330,Elmbridge 001A,Vehicle crime,Investigation complete; no suspect identified,
8063a057a7b0bec9860b0edce4999500fe21d973770bbcd116c0854ea85966a8,2013-04,Surrey Police,Surrey Police,-0.372065,51.408127,On or near Garrick Gardens,E01030330,Elmbridge 001A,Other crime,Investigation complete; no suspect identified,
d49ce0a984d258bd7a503af338165b3546036031666bf1012eb0ea43d0a3a322,2013-04,Surrey Police,Surrey Police,-0.372065,51.408127,On or near Garrick Gardens,E01030330,Elmbridge 001A,Other crime,Under investigation,
,2013-04,Surrey Police,Surrey Police,-0.380477,51.403648,On or near Weldon Drive,E01030331,Elmbridge 001B,Anti-social behaviour,,
,2013-04,Surrey Police,Surrey Police,-0.380477,51.403648,On or near Weldon Drive,E01030331,Elmbridge 001B,Anti-social behaviour,,
b83983476351ef45f2bec2aad85994697f813d290dd42e6209bee604054a132a,2013-04,Surrey Police,Surrey Police,-0.376313,51.406756,On or near Cherry Orchard Road,E01030331,Elmbridge 001B,Criminal damage and arson,Investigation complete; no suspect identified,
1cb558d822b86ab156b2a16ca86d23d24e9078e74bc0e88906cab2ac8305a774,2013-04,Surrey Police,Surrey Police,-0.376313,51.406756,On or near Cherry Orchard Road,E01030331,Elmbridge 001B,Violent crime,Court result unavailable,
bb9288d99515107cc7d9ebc4f9f2c696ba582d9c719fcb419c4a31b57efcaefc,2013-04,Surrey Police,Surrey Police,-0.376313,51.406756,On or near Cherry Orchard Road,E01030331,Elmbridge 001B,Violent crime,Court case unable to proceed,
39bb684098af7dd196d70b81a70f4b21ed2894010f2ea32a33a4f883e1780556,2013-04,Surrey Police,Surrey Police,-0.380905,51.402521,On or near Bishop Fox Way,E01030331,Elmbridge 001B,Violent crime,Court result unavailable,
0378739fc4f5521f9fc89242c7ff53bb2a2193ab6cfb00884d5555d541a4159c,2013-04,Surrey Police,Surrey Police,-0.376313,51.406756,On or near Cherry Orchard Road,E01030331,Elmbridge 001B,Violent crime,Under investigation,
,2013-04,Surrey Police,Surrey Police,-0.368388,51.405602,On or near Dundas Gardens,E01030332,Elmbridge 001C,Anti-social behaviour,,
6f6c3fbcbd71cd1de4970438bd192e8a45d78eab849ae8f1f4f5c250cfa9af8e,2013-04,Surrey Police,Surrey Police,-0.366320,51.405547,On or near Molesham Way,E01030332,Elmbridge 001C,Violent crime,Under investigation,
,2013-04,Surrey Police,Surrey Police,-0.362607,51.408858,On or near Carlyle Close,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2013-04,Surrey Police,Surrey Police,-0.364123,51.405057,On or near Sports/Recreation Area,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2013-04,Surrey Police,Surrey Police,-0.360366,51.410823,On or near Parking Area,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2013-04,Surrey Police,Surrey Police,-0.364123,51.405057,On or near Sports/Recreation Area,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2013-04,Surrey Police,Surrey Police,-0.364640,51.406683,On or near The Fairway,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2013-04,Surrey Police,Surrey Police,-0.362607,51.408858,On or near Carlyle Close,E01030333,Elmbridge 001D,Anti-social behaviour,,
535b904b5f502adec8cb334ae3332c7847e31e4c69fdd55148713894197cbbf6,2013-04,Surrey Police,Surrey Police,-0.352953,51.407815,On or near Sports/Recreation Area,E01030333,Elmbridge 001D,Criminal damage and arson,Investigation complete; no suspect identified,
47ffd228c1a0e536d0a7432183a80ea4a8b132c41b941ee4400ed70ae202f468,2013-04,Surrey Police,Surrey Police,-0.362482,51.406725,On or near Dunstall Way,E01030333,Elmbridge 001D,Criminal damage and arson,Investigation complete; no suspect identified,
f967089971942cf6e17ec871a563a62b50d78b24a05f44ff8f5070c1b1dca4e1,2013-04,Surrey Police,Surrey Police,-0.362482,51.406725,On or near Dunstall Way,E01030333,Elmbridge 001D,Criminal damage and arson,Investigation complete; no suspect identified,
4a06290c46b92cc5cf20f15de3465bbcae09dd521b123d4208c05aa54c5f23ed,2013-04,Surrey Police,Surrey Police,-0.362482,51.406725,On or near Dunstall Way,E01030333,Elmbridge 001D,Criminal damage and arson,Investigation complete; no suspect identified,
9417c14bb7d5ae271aaedebc3488bce1e213ce959ae57a370d47f2f00b5abd55,2013-04,Surrey Police,Surrey Police,-0.352953,51.407815,On or near Sports/Recreation Area,E01030333,Elmbridge 001D,Criminal damage and arson,Investigation complete; no suspect identified,
f57abb19dc3be5db4b654bebf3005964743aaf67269ff828fdcbf63bd430daaa,2013-04,Surrey Police,Surrey Police,-0.364640,51.406683,On or near The Fairway,E01030333,Elmbridge 001D,Drugs,Offender given community sentence,
ba654c0bb3318b914d3622e7e3c49dcc20c50b705512a5993b0f5962d58296b1,2013-04,Surrey Police,Surrey Police,-0.362482,51.406725,On or near Dunstall Way,E01030333,Elmbridge 001D,Other theft,Investigation complete; no suspect identified,
dc6c5a0f5ad4aa07aaee5449f51b125b6708c244e32638f356d81d61a6bab9ab,2013-04,Surrey Police,Surrey Police,-0.367526,51.407596,On or near Mountwood,E01030333,Elmbridge 001D,Shoplifting,Court result unavailable,
3ecafd76e7ee8bbd566d8ef11c674c734908d73b30f788d432758dab12f870d6,2013-04,Surrey Police,Surrey Police,-0.367526,51.407596,On or near Mountwood,E01030333,Elmbridge 001D,Shoplifting,Under investigation,
29e5a094afb9fd37d802d2c97e2cfcd7dddb12d2dd6b99f96d1935e10b365d05,2013-04,Surrey Police,Surrey Police,-0.360762,51.408571,On or near Rivermead,E01030333,Elmbridge 001D,Vehicle crime,Offender given community sentence,
,2013-04,Surrey Police,Surrey Police,-0.350346,51.403956,On or near Palace Road,E01030326,Elmbridge 002A,Anti-social behaviour,,
,2013-04,Surrey Police,Surrey Police,-0.344444,51.403747,On or near Riverbank,E01030326,Elmbridge 002A,Anti-social behaviour,,
6f7105801f778d56122d498f56dcde97770467702d5a11941fef026417ce86d1,2013-04,Surrey Police,Surrey Police,-0.343511,51.402529,On or near Creek Road,E01030326,Elmbridge 002A,Burglary,Investigation complete; no suspect identified,
5c8268f1270897053e59cd2bbc749745ca8c2225e1f9dd9dac954d0e84129821,2013-04,Surrey Police,Surrey Police,-0.344444,51.403747,On or near Riverbank,E01030326,Elmbridge 002A,Criminal damage and arson,Investigation complete; no suspect identified,
8a4411d8e0d8cf6c76cc2ae28cb0b00010b57e443e09117923dc23f1d05776e6,2013-04,Surrey Police,Surrey Police,-0.344444,51.403747,On or near Riverbank,E01030326,Elmbridge 002A,Criminal damage and arson,Investigation complete; no suspect identified,
71d3f10b0ed585b81d6d32b279916be737b632234d0103873568c0bec1621602,2013-04,Surrey Police,Surrey Police,-0.343410,51.402932,On or near Bridge Road,E01030326,Elmbridge 002A,Other theft,Investigation complete; no suspect identified,
7b5775a47cf0bf7d8cbd66722ea92c086c8cd66a9fdc64831e73520c498c8a27,2013-04,Surrey Police,Surrey Police,-0.343511,51.402529,On or near Creek Road,E01030326,Elmbridge 002A,Robbery,Investigation complete; no suspect identified,
ac103d039d18bac9ea631712fac9c9d0de81d0a69ff24cfdd535289fd4242a94,2013-04,Surrey Police,Surrey Police,-0.349635,51.400547,On or near St John'S Road,E01030326,Elmbridge 002A,Violent crime,Investigation complete; no suspect identified,
,2013-04,Surrey Police,Surrey Police,-0.353434,51.398838,On or near St Mary'S Road,E01030327,Elmbridge 002B,Anti-social behaviour,,
,2013-04,Surrey Police,Surrey Police,-0.354411,51.400039,On or near Walton Road,E01030327,Elmbridge 002B,Anti-social behaviour,,
