Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2011-08,Surrey Police,Surrey Police,0.021152,51.307588,On or near Hillingdale,E01000655,Bromley 039B,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,0.002957,51.332253,On or near King Henry'S Drive,E01000747,Bromley 042B,Violent crime,,
,2011-08,Surrey Police,Surrey Police,0.034131,51.307138,On or near Eagles Drive,E01032570,Bromley 042D,Burglary,,
,2011-08,Surrey Police,Surrey Police,-0.724680,51.051567,On or near Nappers Wood,E01031504,Chichester 001C,Vehicle crime,,
,2011-08,Surrey Police,Surrey Police,-0.068355,51.320079,On or near Princes Close,E01001106,Croydon 039C,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.084359,51.316241,On or near Old Barn Lane,E01001071,Croydon 042B,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.142228,51.319206,On or near Fourth Drive,E01001024,Croydon 043B,Other crime,,
,2011-08,Surrey Police,Surrey Police,-0.748389,51.110941,On or near Rockdale Drive,E01022599,East Hampshire 017A,Other crime,,
,2011-08,Surrey Police,Surrey Police,-0.748478,51.106607,On or near Mowatt Road,E01032625,East Hampshire 017E,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.748478,51.106607,On or near Mowatt Road,E01032625,East Hampshire 017E,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.370160,51.407938,On or near Victoria Close,E01030330,Elmbridge 001A,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.369494,51.407650,On or near Hurst Road,E01030330,Elmbridge 001A,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.365617,51.408720,On or near Tufton Gardens,E01030330,Elmbridge 001A,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.368235,51.406661,On or near Kelvinbrook,E01030330,Elmbridge 001A,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.372065,51.408127,On or near Garrick Gardens,E01030330,Elmbridge 001A,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.365617,51.408720,On or near Tufton Gardens,E01030330,Elmbridge 001A,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.369494,51.407650,On or near Hurst Road,E01030330,Elmbridge 001A,Violent crime,,
,2011-08,Surrey Police,Surrey Police,-0.371498,51.406293,On or near Windsor Avenue,E01030330,Elmbridge 001A,Other crime,,
,2011-08,Surrey Police,Surrey Police,-0.374863,51.407077,On or near Hurstfield Road,E01030331,Elmbridge 001B,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.376732,51.404666,On or near Berkeley Drive,E01030331,Elmbridge 001B,Burglary,,
,2011-08,Surrey Police,Surrey Police,-0.379656,51.403295,On or near Grafton Way,E01030331,Elmbridge 001B,Violent crime,,
,2011-08,Surrey Police,Surrey Police,-0.366320,51.405547,On or near Molesham Way,E01030332,Elmbridge 001C,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.361036,51.403737,On or near First Close,E01030332,Elmbridge 001C,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.366320,51.405547,On or near Molesham Way,E01030332,Elmbridge 001C,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.368388,51.405602,On or near Dundas Gardens,E01030332,Elmbridge 001C,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.369326,51.404689,On or near Mole Abbey Gardens,E01030332,Elmbridge 001C,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.361722,51.405069,On or near Merton Way,E01030332,Elmbridge 001C,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.371652,51.403571,On or near St. Peters Road,E01030332,Elmbridge 001C,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.368388,51.405602,On or near Dundas Gardens,E01030332,Elmbridge 001C,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.371652,51.403571,On or near St. Peters Road,E01030332,Elmbridge 001C,Violent crime,,
,2011-08,Surrey Police,Surrey Police,-0.361722,51.405069,On or near Merton Way,E01030332,Elmbridge 001C,Violent crime,,
,2011-08,Surrey Police,Surrey Police,-0.361722,51.405069,On or near Merton Way,E01030332,Elmbridge 001C,Violent crime,,
,2011-08,Surrey Police,Surrey Police,-0.368388,51.405602,On or near Dundas Gardens,E01030332,Elmbridge 001C,Other crime,,
,2011-08,Surrey Police,Surrey Police,-0.361722,51.405069,On or near Merton Way,E01030332,Elmbridge 001C,Other crime,,
,2011-08,Surrey Police,Surrey Police,-0.361722,51.405069,On or near Merton Way,E01030332,Elmbridge 001C,Other crime,,
,2011-08,Surrey Police,Surrey Police,-0.368388,51.405602,On or near Dundas Gardens,E01030332,Elmbridge 001C,Other crime,,
,2011-08,Surrey Police,Surrey Police,-0.361722,51.405069,On or near Merton Way,E01030332,Elmbridge 001C,Other crime,,
,2011-08,Surrey Police,Surrey Police,-0.361410,51.409759,On or near Sadlers Ride,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.365083,51.409999,On or near Buckingham Gardens,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.360762,51.408571,On or near Rivermead,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.364866,51.409609,On or near Buckingham Avenue,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.367526,51.407596,On or near Mountwood,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.367272,51.407080,On or near Spurfield,E01030333,Elmbridge 001D,Violent crime,,
,2011-08,Surrey Police,Surrey Police,-0.362467,51.406734,On or near Dunstall Way,E01030333,Elmbridge 001D,Violent crime,,
,2011-08,Surrey Police,Surrey Police,-0.364205,51.408790,On or near Bedster Gardens,E01030333,Elmbridge 001D,Other crime,,
,2011-08,Surrey Police,Surrey Police,-0.343061,51.401039,On or near Hampton Court Way,E01030326,Elmbridge 002A,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.343061,51.401039,On or near Hampton Court Way,E01030326,Elmbridge 002A,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.350346,51.403956,On or near Palace Road,E01030326,Elmbridge 002A,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.350445,51.402402,On or near Wolsey Road,E01030326,Elmbridge 002A,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.343061,51.401039,On or near Hampton Court Way,E01030326,Elmbridge 002A,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.345450,51.403374,On or near Feltham Avenue,E01030326,Elmbridge 002A,Burglary,,
,2011-08,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Violent crime,,
,2011-08,Surrey Police,Surrey Police,-0.345450,51.403374,On or near Feltham Avenue,E01030326,Elmbridge 002A,Violent crime,,
,2011-08,Surrey Police,Surrey Police,-0.349907,51.399777,On or near Bridge Gardens,E01030326,Elmbridge 002A,Other crime,,
,2011-08,Surrey Police,Surrey Police,-0.345450,51.403374,On or near Feltham Avenue,E01030326,Elmbridge 002A,Other crime,,
,2011-08,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Other crime,,
,2011-08,Surrey Police,Surrey Police,-0.350445,51.402402,On or near Wolsey Road,E01030326,Elmbridge 002A,Other crime,,
,2011-08,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Other crime,,
,2011-08,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Other crime,,
,2011-08,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Other crime,,
,2011-08,Surrey Police,Surrey Police,-0.345450,51.403374,On or near Feltham Avenue,E01030326,Elmbridge 002A,Other crime,,
,2011-08,Surrey Police,Surrey Police,-0.349907,51.399777,On or near Bridge Gardens,E01030326,Elmbridge 002A,Other crime,,
,2011-08,Surrey Police,Surrey Police,-0.358239,51.397134,On or near Molesey Park Road,E01030327,Elmbridge 002B,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.355627,51.401818,On or near Kent Road,E01030327,Elmbridge 002B,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.351547,51.393326,On or near Orchard Lane,E01030327,Elmbridge 002B,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.358127,51.399848,On or near Clinton Avenue,E01030327,Elmbridge 002B,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.351547,51.393326,On or near Orchard Lane,E01030327,Elmbridge 002B,Anti-social behaviour,,
,2011-08,Surrey Police,Surrey Police,-0.358127,51.399848,On or near Clinton Avenue,E01030327,Elmbridge 002B,Burglary,,
,2011-08,Surrey Police,Surrey Police,-0.358239,51.397134,On or near Molesey Park Road,E01030327,Elmbridge 002B,Burglary,,
